Date and Time,SKU,Name,Brand,Average Rating,Rating Count,Sponsored,Price,Sales Price,Express,Rank,Link
2024-12-21 13:07:59,Z32CADD1858C6D6393BC3Z,"Eworld Anti-slip Yoga Sports and Exercise Mat with Carrying Strap Water Repellent Moisture Proof for Home and Gym, Grey ",Eworld,0,0,Y,34.95,34.95,Y,1,/uae-en/anti-slip-yoga-sports-and-exercise-mat-with-carrying-strap-water-repellent-moisture-proof-for-home-and-gym-grey/Z32CADD1858C6D6393BC3Z/p/?o=z32cadd1858c6d6393bc3z-1
2024-12-21 13:07:59,Z2F9046D53376D3F6A8B7Z,YQbest Yoga Barre Socks Non Slip Anti Skid Sticky Silicone Grips Cotton for Pilates Gym Pure Ballet Dance Barefoot Workout Ankle Multiuse Black Grey Skin Color 3Pcs ,YQbest,0,0,Y,69,48,Y,2,/uae-en/yoga-barre-socks-non-slip-anti-skid-sticky-silicone-grips-cotton-for-pilates-gym-pure-ballet-dance-barefoot-workout-ankle-multiuse-black-grey-skin-color-3pcs/Z2F9046D53376D3F6A8B7Z/p/?o=z2f9046d53376d3f6a8b7z-1
2024-12-21 13:07:59,Z83C8A1AAB21D372A0063Z,MahMir MahMir Yoga Mat Anti Slip Exercise Mat with Carrying Bag Fitness Mat for Pilates 183CMX61CMX6MM Thickness for Woman Man Beginners (Dark Grey + Black) ,MahMir,4.6,29,N,69.95,49.95,Y,3,/uae-en/mahmir-yoga-mat-anti-slip-exercise-mat-with-carrying-bag-fitness-mat-for-pilates-183cmx61cmx6mm-thickness-for-woman-man-beginners-dark-grey-black/Z83C8A1AAB21D372A0063Z/p/?o=z83c8a1aab21d372a0063z-1
2024-12-21 13:07:59,N37816362A,Generic Breathable Yoga Mat Mesh Bag 11.8x27.5inch ,Generic,3.6,80,N,33,19.85,Y,4,/uae-en/breathable-yoga-mat-mesh-bag-11-8x27-5inch/N37816362A/p/?o=a59e701361a07a7a
2024-12-21 13:07:59,Z05FE5A0BC4B4236024FCZ,"WENBO Yoga Foam Roller Self Massage Exercise, Back, Leg, Body Starching Physical Therapy (33cm L) (Pink) ",WENBO,0,0,Y,49,45,Y,5,/uae-en/yoga-foam-roller-self-massage-exercise-back-leg-body-starching-physical-therapy-33cm-l-pink/Z05FE5A0BC4B4236024FCZ/p/?o=z05fe5a0bc4b4236024fcz-4
2024-12-21 13:07:59,ZEDB8FEBB3E1E4D18D43CZ,Prickly Pear Prickly Pear STARGAZE Non-Slip Suede Top 4mm Thick Yoga Mat with Carry Strap for Exercise and Fitness ,Prickly,0,0,N,415,275,Y,6,/uae-en/prickly-pear-stargaze-non-slip-suede-top-4mm-thick-yoga-mat-with-carry-strap-for-exercise-and-fitness/ZEDB8FEBB3E1E4D18D43CZ/p/?o=zedb8febb3e1e4d18d43cz-1
2024-12-21 13:07:59,Z4F92579021C1CA25613BZ,Align-Pilates Align-Pilates Leg Extensions for R8-Pro Pilates Reformer ,Align-Pilates,0,0,N,250,230,Y,7,/uae-en/align-pilates-leg-extensions-for-r8-pro-pilates-reformer/Z4F92579021C1CA25613BZ/p/?o=z4f92579021c1ca25613bz-1
2024-12-21 13:07:59,ZCBE37221BDED873009B5Z,Prickly Pear Prickly Pear Beige Rollable 4mm Non-Slip Yoga Mat with Carry Strap/Stretching Tool - Premium Exercise Mat ,Prickly,0,0,N,415,275,Y,8,/uae-en/prickly-pear-beige-rollable-4mm-non-slip-yoga-mat-with-carry-strap-stretching-tool-premium-exercise-mat/ZCBE37221BDED873009B5Z/p/?o=zcbe37221bded873009b5z-1
2024-12-21 13:07:59,ZFC4F2BC1E9DC7B33305BZ,"Qiccijoo Qiccijoo Ankle Weights Set 1 Pair 4kg(8.8lb) Workout Ankle Weights for Women or Men Wrist Leg Weights for Fitness,Running,Walking,2*2kg(4.4lb) - Blue ",Qiccijoo,0,0,N,89,89,Y,9,/uae-en/qiccijoo-ankle-weights-set-1-pair-4kg-8-8lb-workout-ankle-weights-for-women-or-men-wrist-leg-weights-for-fitness-running-walking-2-2kg-4-4lb-blue/ZFC4F2BC1E9DC7B33305BZ/p/?o=zfc4f2bc1e9dc7b33305bz-1
2024-12-21 13:07:59,ZFE3A2FA4D7500B905162Z,Generic Yoga Mat Bag with Water Bottle Pocket and Bottom Wet Compartment - Multifunctional Sports Yoga Mat Carrier and Storage Bag ,Generic,0,0,N,99,56.95,Y,10,/uae-en/yoga-mat-bag-with-water-bottle-pocket-and-bottom-wet-compartment-multifunctional-sports-yoga-mat-carrier-and-storage-bag/ZFE3A2FA4D7500B905162Z/p/?o=zfe3a2fa4d7500b905162z-1
